order,ObjectID,ObjectName,CollectionID,Collection,DateBeginYear,DateEndYear,DateText,Title,Classification,Creator,PrimaryImage
1504,18685,panel paintings,8,Renaissance and Baroque Art,1458,1482,ca. 1470,Madonna and Child,Painting & Drawing,"Francesco di Giorgio Martini (Italian, 1439-1501)",http://static.thewalters.org/images/PL7_37.1034_Fnt_BW.jpg
1505,18691,paintings,8,Renaissance and Baroque Art,1665,1715,ca. 1690,Imaginary Interior of a Protestant Church,Painting & Drawing,"Hendrick van Streeck (Dutch, 1659-after 1719)",http://static.thewalters.org/images/PS1_37.2752_Fnt_DD_T09.jpg
1506,18725,albums (books); paintings,65,South and Southeast Asian Art,1858,1882,ca. 1870,Bound Collection of Twenty Miniatures Depicting Village Life,Painting & Drawing,Indian (?),http://static.thewalters.org/images/PS1_35.176_Fnt_DD_T09.jpg
1507,18728,color woodcuts,1,East Asian Art,1864,1864,1864,Chushin gishi meimei den,Prints,"Yoshitora (Japanese, active ca. 1850-1880)",http://static.thewalters.org/images/PS3_95.808_Fnt_DD_JP09.jpg
1508,18745,color woodcuts,1,East Asian Art,1830,1859,ca. 1842-59,Ichikawa Danzo V or VI as Sanshichiro Shinko,Prints,"Sadanobu I (Japanese, 1809-1879)",http://static.thewalters.org/images/PS3_95.86_Fnt_DD_JP09.jpg
1509,18748,woodblock prints,1,East Asian Art,1918,1918,1918,The Fifty-Three Stations of the Tokaido Road on Foot,Prints,"Fujikawa Tamenobu (Japanese, late 19th-early 20th century)",http://static.thewalters.org/images/PS3_95.686_Fnt_DD_JP09.jpg
1510,18751,albums (books); paintings,1,East Asian Art,1747,1797,1747-1797,Album of Birds and Flowers,Painting & Drawing,"Kano Toshun (Japanese, 1747-1797)",http://static.thewalters.org/images/PS3_35.173_Fnt_DD_T09.jpg
1511,18752,color woodcuts,1,East Asian Art,1862,1899,1862-1899,Arashi Rikan III or IV Plays the Armored Samurai Yoshimura,Prints,"Utagawa Yoshitaki (Japanese, 1841-1899)",http://static.thewalters.org/images/PS3_95.457.2_Fnt_DD_JP09.jpg
1512,18773,drawings (visual works),7,18th and 19th Century Art,0,0,n.d.,Dante and Beatrice,Painting & Drawing,"Ary Scheffer (Dutch, 1795-1858)",http://static.thewalters.org/images/PL1_37.989_Fnt_TR_T02II.jpg
1513,18788,paintings,7,18th and 19th Century Art,1870,1879,1870s,Bunch of Grapes,Painting & Drawing,"Andrew John Henry Way (American, 1826-1888)",http://static.thewalters.org/images/PS1_37.2591_Fnt_DD_T13.jpg
1514,18795,kakemono; scroll paintings,1,East Asian Art,1834,1834,1834,Autumn Landscape,Painting & Drawing,"Nakabayashi Chikuto (Japanese, 1776-1853)",http://static.thewalters.org/images/PL1_35.133_Fnt_TR_T91II.jpg
